"subjectID" "measurement" "activity" "average"
"1" 1 "angle.tBodyAccJerkMean..gravityMean." "LAYING" 0.00306040735
"2" 1 "angle.tBodyAccJerkMean..gravityMean." "SITTING" 0.0297097878297872
"3" 1 "angle.tBodyAccJerkMean..gravityMean." "STANDING" 0.021963782690566
"4" 1 "angle.tBodyAccJerkMean..gravityMean." "WALKING" -0.00793037848421052
"5" 1 "angle.tBodyAccJerkMean..gravityMean." "WALKING_DOWNSTAIRS" 0.0899316865510204
"6" 1 "angle.tBodyAccJerkMean..gravityMean." "WALKING_UPSTAIRS" -0.0610838413018868
"7" 1 "angle.tBodyAccMean.gravity." "LAYING" 0.0213659655642
"8" 1 "angle.tBodyAccMean.gravity." "SITTING" 0.0274415479191489
"9" 1 "angle.tBodyAccMean.gravity." "STANDING" -0.000222340747169812
"10" 1 "angle.tBodyAccMean.gravity." "WALKING" 0.0604537474147368
"11" 1 "angle.tBodyAccMean.gravity." "WALKING_DOWNSTAIRS" -0.00269512515918367
"12" 1 "angle.tBodyAccMean.gravity." "WALKING_UPSTAIRS" 0.0960860761792453
"13" 1 "angle.tBodyGyroJerkMean.gravityMean." "LAYING" 0.08443716468
"14" 1 "angle.tBodyGyroJerkMean.gravityMean." "SITTING" -0.064881619087234
"15" 1 "angle.tBodyGyroJerkMean.gravityMean." "STANDING" -0.0279229321962264
"16" 1 "angle.tBodyGyroJerkMean.gravityMean." "WALKING" -0.0187431910452632
"17" 1 "angle.tBodyGyroJerkMean.gravityMean." "WALKING_DOWNSTAIRS" -0.0399768458163265
"18" 1 "angle.tBodyGyroJerkMean.gravityMean." "WALKING_UPSTAIRS" 0.0656835692641509
"19" 1 "angle.tBodyGyroMean.gravityMean." "LAYING" -0.001666984698
"20" 1 "angle.tBodyGyroMean.gravityMean." "SITTING" 0.0676981338723404
"21" 1 "angle.tBodyGyroMean.gravityMean." "STANDING" -0.0337938382037736
"22" 1 "angle.tBodyGyroMean.gravityMean." "WALKING" 0.0130594907157895
"23" 1 "angle.tBodyGyroMean.gravityMean." "WALKING_DOWNSTAIRS" 0.0633382849183673
"24" 1 "angle.tBodyGyroMean.gravityMean." "WALKING_UPSTAIRS" -0.194699963113208
"25" 1 "angle.X.gravityMean." "LAYING" 0.4267062264
"26" 1 "angle.X.gravityMean." "SITTING" -0.591247480212766
"27" 1 "angle.X.gravityMean." "STANDING" -0.743407887924528
"28" 1 "angle.X.gravityMean." "WALKING" -0.729247201052632
"29" 1 "angle.X.gravityMean." "WALKING_DOWNSTAIRS" -0.744483753469388
"30" 1 "angle.X.gravityMean." "WALKING_UPSTAIRS" -0.647195664339623
"31" 1 "angle.Y.gravityMean." "LAYING" -0.52034381798
"32" 1 "angle.Y.gravityMean." "SITTING" -0.0604660253808511
"33" 1 "angle.Y.gravityMean." "STANDING" 0.270175032830189
"34" 1 "angle.Y.gravityMean." "WALKING" 0.276953023473684
"35" 1 "angle.Y.gravityMean." "WALKING_DOWNSTAIRS" 0.267245784693878
"36" 1 "angle.Y.gravityMean." "WALKING_UPSTAIRS" 0.334763277358491
"37" 1 "angle.Z.gravityMean." "LAYING" -0.35241310896
"38" 1 "angle.Z.gravityMean." "SITTING" -0.218017225106383
"39" 1 "angle.Z.gravityMean." "STANDING" 0.0122528503773585
"40" 1 "angle.Z.gravityMean." "WALKING" 0.0688589119894737
"41" 1 "angle.Z.gravityMean." "WALKING_DOWNSTAIRS" 0.0650047072244898
"42" 1 "angle.Z.gravityMean." "WALKING_UPSTAIRS" 0.0741663682075472
"43" 1 "fBodyAcc.mean...X" "LAYING" -0.9390990524
"44" 1 "fBodyAcc.mean...X" "SITTING" -0.979641238723404
"45" 1 "fBodyAcc.mean...X" "STANDING" -0.995249932641509
"46" 1 "fBodyAcc.mean...X" "WALKING" -0.202794306326316
"47" 1 "fBodyAcc.mean...X" "WALKING_DOWNSTAIRS" 0.0382291831510204
"48" 1 "fBodyAcc.mean...X" "WALKING_UPSTAIRS" -0.404321784150943
"49" 1 "fBodyAcc.mean...Y" "LAYING" -0.86706520518
"50" 1 "fBodyAcc.mean...Y" "SITTING" -0.944084550425532
"51" 1 "fBodyAcc.mean...Y" "STANDING" -0.977070847735849
"52" 1 "fBodyAcc.mean...Y" "WALKING" 0.0897127264021053
"53" 1 "fBodyAcc.mean...Y" "WALKING_DOWNSTAIRS" 0.00154990783591837
"54" 1 "fBodyAcc.mean...Y" "WALKING_UPSTAIRS" -0.190976720811321
"55" 1 "fBodyAcc.mean...Z" "LAYING" -0.8826668762
"56" 1 "fBodyAcc.mean...Z" "SITTING" -0.959184889148936
"57" 1 "fBodyAcc.mean...Z" "STANDING" -0.985297098679245
"58" 1 "fBodyAcc.mean...Z" "WALKING" -0.331560117789474
"59" 1 "fBodyAcc.mean...Z" "WALKING_DOWNSTAIRS" -0.225574471693878
"60" 1 "fBodyAcc.mean...Z" "WALKING_UPSTAIRS" -0.433349702075472
"61" 1 "fBodyAcc.meanFreq...X" "LAYING" -0.158792670508
"62" 1 "fBodyAcc.meanFreq...X" "SITTING" -0.0495135975489362
"63" 1 "fBodyAcc.meanFreq...X" "STANDING" 0.0865153619088679
"64" 1 "fBodyAcc.meanFreq...X" "WALKING" -0.207548374494737
"65" 1 "fBodyAcc.meanFreq...X" "WALKING_DOWNSTAIRS" -0.307395198687755
"66" 1 "fBodyAcc.meanFreq...X" "WALKING_UPSTAIRS" -0.418735000377359
"67" 1 "fBodyAcc.meanFreq...Y" "LAYING" 0.097534841586
"68" 1 "fBodyAcc.meanFreq...Y" "SITTING" 0.0759460768510638
"69" 1 "fBodyAcc.meanFreq...Y" "STANDING" 0.117478948718868
"70" 1 "fBodyAcc.meanFreq...Y" "WALKING" 0.113093646103158
"71" 1 "fBodyAcc.meanFreq...Y" "WALKING_DOWNSTAIRS" 0.0632200839346939
"72" 1 "fBodyAcc.meanFreq...Y" "WALKING_UPSTAIRS" -0.160697213516981
"73" 1 "fBodyAcc.meanFreq...Z" "LAYING" 0.08943765522
"74" 1 "fBodyAcc.meanFreq...Z" "SITTING" 0.238829870148936
"75" 1 "fBodyAcc.meanFreq...Z" "STANDING" 0.244858585792453
"76" 1 "fBodyAcc.meanFreq...Z" "WALKING" 0.0497265196172632
"77" 1 "fBodyAcc.meanFreq...Z" "WALKING_DOWNSTAIRS" 0.294322700810612
"78" 1 "fBodyAcc.meanFreq...Z" "WALKING_UPSTAIRS" -0.520114793584906
"79" 1 "fBodyAcc.std...X" "LAYING" -0.9244374346
"80" 1 "fBodyAcc.std...X" "SITTING" -0.976412313191489
"81" 1 "fBodyAcc.std...X" "STANDING" -0.99602834509434
"82" 1 "fBodyAcc.std...X" "WALKING" -0.319134719578947
"83" 1 "fBodyAcc.std...X" "WALKING_DOWNSTAIRS" 0.0243308391387755
"84" 1 "fBodyAcc.std...X" "WALKING_UPSTAIRS" -0.337428188679245
"85" 1 "fBodyAcc.std...Y" "LAYING" -0.8336255561
"86" 1 "fBodyAcc.std...Y" "SITTING" -0.917275006382979
"87" 1 "fBodyAcc.std...Y" "STANDING" -0.972293102075472
"88" 1 "fBodyAcc.std...Y" "WALKING" 0.056040006846
"89" 1 "fBodyAcc.std...Y" "WALKING_DOWNSTAIRS" -0.112963739953061
"90" 1 "fBodyAcc.std...Y" "WALKING_UPSTAIRS" 0.0217695106566038
"91" 1 "fBodyAcc.std...Z" "LAYING" -0.81289155944
"92" 1 "fBodyAcc.std...Z" "SITTING" -0.934469558085106
"93" 1 "fBodyAcc.std...Z" "STANDING" -0.977937259622642
"94" 1 "fBodyAcc.std...Z" "WALKING" -0.279686751494737
"95" 1 "fBodyAcc.std...Z" "WALKING_DOWNSTAIRS" -0.297927894693878
"96" 1 "fBodyAcc.std...Z" "WALKING_UPSTAIRS" 0.0859565543849057
"97" 1 "fBodyAccJerk.mean...X" "LAYING" -0.9570738838
"98" 1 "fBodyAccJerk.mean...X" "SITTING" -0.986597022553191
"99" 1 "fBodyAccJerk.mean...X" "STANDING" -0.994630797358491
"100" 1 "fBodyAccJerk.mean...X" "WALKING" -0.170546964549579
"101" 1 "fBodyAccJerk.mean...X" "WALKING_DOWNSTAIRS" -0.0276638676122449
"102" 1 "fBodyAccJerk.mean...X" "WALKING_UPSTAIRS" -0.479875245660377
"103" 1 "fBodyAccJerk.mean...Y" "LAYING" -0.9224626098
"104" 1 "fBodyAccJerk.mean...Y" "SITTING" -0.981579467021277
"105" 1 "fBodyAccJerk.mean...Y" "STANDING" -0.985418704528302
"106" 1 "fBodyAccJerk.mean...Y" "WALKING" -0.0352255241130632
"107" 1 "fBodyAccJerk.mean...Y" "WALKING_DOWNSTAIRS" -0.12866715764898
"108" 1 "fBodyAccJerk.mean...Y" "WALKING_UPSTAIRS" -0.41344458754717
"109" 1 "fBodyAccJerk.mean...Z" "LAYING" -0.9480609042
"110" 1 "fBodyAccJerk.mean...Z" "SITTING" -0.986053092340425
"111" 1 "fBodyAccJerk.mean...Z" "STANDING" -0.990752166037736
"112" 1 "fBodyAccJerk.mean...Z" "WALKING" -0.468999224631579
"113" 1 "fBodyAccJerk.mean...Z" "WALKING_DOWNSTAIRS" -0.288334735714286
"114" 1 "fBodyAccJerk.mean...Z" "WALKING_UPSTAIRS" -0.685474353962264
"115" 1 "fBodyAccJerk.meanFreq...X" "LAYING" 0.132419092398
"116" 1 "fBodyAccJerk.meanFreq...X" "SITTING" 0.256610823568085
"117" 1 "fBodyAccJerk.meanFreq...X" "STANDING" 0.314182940150943
"118" 1 "fBodyAccJerk.meanFreq...X" "WALKING" -0.209261973376842
"119" 1 "fBodyAccJerk.meanFreq...X" "WALKING_DOWNSTAIRS" -0.253164344918367
"120" 1 "fBodyAccJerk.meanFreq...X" "WALKING_UPSTAIRS" -0.377023128301887
"121" 1 "fBodyAccJerk.meanFreq...Y" "LAYING" 0.024513618956
"122" 1 "fBodyAccJerk.meanFreq...Y" "SITTING" 0.0475437839595745
"123" 1 "fBodyAccJerk.meanFreq...Y" "STANDING" 0.0391618954943396
"124" 1 "fBodyAccJerk.meanFreq...Y" "WALKING" -0.386237143210526
"125" 1 "fBodyAccJerk.meanFreq...Y" "WALKING_DOWNSTAIRS" -0.33758970122449
"126" 1 "fBodyAccJerk.meanFreq...Y" "WALKING_UPSTAIRS" -0.509495531698113
"127" 1 "fBodyAccJerk.meanFreq...Z" "LAYING" 0.02438794528
"128" 1 "fBodyAccJerk.meanFreq...Z" "SITTING" 0.0923920032553192
"129" 1 "fBodyAccJerk.meanFreq...Z" "STANDING" 0.138581478749057
"130" 1 "fBodyAccJerk.meanFreq...Z" "WALKING" -0.185530281244211
"131" 1 "fBodyAccJerk.meanFreq...Z" "WALKING_DOWNSTAIRS" 0.00937223889183673
"132" 1 "fBodyAccJerk.meanFreq...Z" "WALKING_UPSTAIRS" -0.551104284150943
"133" 1 "fBodyAccJerk.std...X" "LAYING" -0.9641607086
"134" 1 "fBodyAccJerk.std...X" "SITTING" -0.987492994468085
"135" 1 "fBodyAccJerk.std...X" "STANDING" -0.995073759245283
"136" 1 "fBodyAccJerk.std...X" "WALKING" -0.133586606326316
"137" 1 "fBodyAccJerk.std...X" "WALKING_DOWNSTAIRS" -0.0863278966402041
"138" 1 "fBodyAccJerk.std...X" "WALKING_UPSTAIRS" -0.461907025849057
"139" 1 "fBodyAccJerk.std...Y" "LAYING" -0.9322178704
